733.txt,P6,TEL,medium
3228.txt,P4,FRA,medium
4519.txt,P8,SPA,medium
5308.txt,P6,KOR,medium
6767.txt,P1,KOR,medium
7965.txt,P5,JPN,medium
8817.txt,P3,FRA,medium
9024.txt,P2,TEL,medium
10017.txt,P8,JPN,medium
10535.txt,P7,ZHO,medium
11203.txt,P3,DEU,medium
11566.txt,P1,TEL,medium
11923.txt,P3,TUR,medium
12072.txt,P7,FRA,medium
13194.txt,P7,JPN,medium
14163.txt,P2,TEL,medium
15340.txt,P7,KOR,medium
17845.txt,P2,TUR,medium
18589.txt,P1,TUR,medium
18772.txt,P5,ZHO,medium
19812.txt,P7,JPN,medium
21007.txt,P2,TEL,medium
21598.txt,P2,ARA,medium
23292.txt,P7,ARA,medium
23976.txt,P5,KOR,medium
24427.txt,P7,ZHO,medium
26027.txt,P1,TEL,medium
26720.txt,P7,ARA,medium
27527.txt,P2,JPN,medium
28610.txt,P3,ITA,medium
29229.txt,P4,ITA,medium
29693.txt,P5,SPA,medium
31117.txt,P2,JPN,medium
31650.txt,P4,FRA,medium
33745.txt,P7,ITA,medium
34566.txt,P7,FRA,medium
35420.txt,P5,ZHO,medium
36300.txt,P7,ZHO,medium
36833.txt,P6,TEL,medium
38979.txt,P5,ITA,medium
39030.txt,P5,ITA,medium
41419.txt,P8,ARA,medium
42600.txt,P2,ZHO,medium
43677.txt,P6,ARA,medium
44162.txt,P6,KOR,medium
44961.txt,P5,SPA,medium
45353.txt,P3,KOR,medium
46344.txt,P6,TUR,medium
46827.txt,P1,ZHO,medium
48984.txt,P5,SPA,medium
50082.txt,P4,ZHO,medium
51757.txt,P8,ITA,medium
53993.txt,P8,TUR,medium
54162.txt,P2,TEL,medium
54482.txt,P7,ITA,medium
54939.txt,P4,TUR,medium
55857.txt,P5,KOR,medium
56222.txt,P4,ITA,medium
57409.txt,P1,TUR,medium
57757.txt,P1,ZHO,medium
59848.txt,P1,ARA,medium
60196.txt,P5,KOR,medium
61275.txt,P7,JPN,medium
62188.txt,P3,TUR,medium
63277.txt,P4,KOR,medium
65870.txt,P5,ITA,medium
66530.txt,P2,JPN,medium
67062.txt,P3,KOR,medium
67816.txt,P7,TUR,medium
69177.txt,P1,ZHO,medium
69510.txt,P8,ITA,medium
70330.txt,P2,JPN,medium
72083.txt,P8,HIN,medium
72376.txt,P4,JPN,medium
73212.txt,P7,ZHO,medium
73721.txt,P2,ZHO,medium
74903.txt,P6,FRA,medium
76547.txt,P5,DEU,medium
76891.txt,P8,ITA,medium
77621.txt,P3,TEL,medium
78400.txt,P3,SPA,medium
78935.txt,P5,KOR,medium
79442.txt,P8,ZHO,medium
80920.txt,P4,ITA,medium
81735.txt,P7,TEL,medium
82120.txt,P2,ITA,medium
83310.txt,P4,ITA,medium
85142.txt,P8,FRA,medium
87097.txt,P2,TEL,medium
88000.txt,P5,JPN,medium
88202.txt,P3,DEU,medium
89860.txt,P4,ITA,medium
91899.txt,P3,JPN,medium
93531.txt,P8,HIN,medium
94398.txt,P6,SPA,medium
94768.txt,P5,JPN,medium
96033.txt,P3,JPN,medium
96442.txt,P6,ZHO,medium
97031.txt,P8,ITA,medium
98215.txt,P3,ITA,medium
98551.txt,P1,SPA,medium
98897.txt,P7,TEL,medium
100082.txt,P2,TUR,medium
100188.txt,P4,KOR,medium
100691.txt,P8,TEL,medium
101126.txt,P3,ITA,medium
102297.txt,P3,ITA,medium
103851.txt,P5,DEU,medium
104396.txt,P5,FRA,medium
104807.txt,P7,KOR,medium
105390.txt,P7,FRA,medium
105815.txt,P6,ARA,medium
105974.txt,P7,KOR,medium
106547.txt,P2,ITA,medium
107338.txt,P8,TUR,medium
108094.txt,P6,ARA,medium
108367.txt,P2,ZHO,medium
109011.txt,P1,JPN,medium
109364.txt,P8,KOR,medium
109774.txt,P7,JPN,medium
111230.txt,P6,ZHO,medium
111701.txt,P6,DEU,medium
112069.txt,P1,TEL,medium
112324.txt,P5,ITA,medium
112592.txt,P8,SPA,medium
113010.txt,P7,TEL,medium
113320.txt,P1,JPN,medium
114142.txt,P7,TEL,medium
114592.txt,P1,ZHO,medium
114803.txt,P8,KOR,medium
115374.txt,P8,FRA,medium
115526.txt,P2,JPN,medium
116281.txt,P3,TEL,medium
117426.txt,P5,ZHO,medium
118886.txt,P7,ZHO,medium
119703.txt,P4,ARA,medium
120103.txt,P1,FRA,medium
120858.txt,P2,TEL,medium
121393.txt,P1,ITA,medium
122553.txt,P6,TUR,medium
123954.txt,P3,SPA,medium
125107.txt,P1,ITA,medium
125439.txt,P4,SPA,medium
127325.txt,P5,TUR,medium
127656.txt,P2,TUR,medium
128690.txt,P1,ITA,medium
129159.txt,P6,ZHO,medium
129964.txt,P5,TUR,medium
131717.txt,P3,HIN,medium
132694.txt,P2,DEU,medium
133707.txt,P2,ZHO,medium
